,City,Cloudiness,Country,Date,Humidity,Temperature,Latitude,Longitude,Wind Speed
0,Punta Arenas,0,CL,1612552202,38,59.0,-53.15,-70.9167,28.77
1,Naryan-Mar,57,RU,1612552438,89,-12.53,67.6713,53.087,11.54
2,Coquimbo,20,CL,1612552375,72,66.2,-29.9533,-71.3436,13.8
3,Faanui,9,PF,1612552440,66,81.18,-16.4833,-151.75,6.24
4,New Norfolk,100,AU,1612552441,92,64.99,-42.7826,147.0587,3.44
5,Tahe,77,CN,1612552442,84,-15.34,52.3333,124.7333,4.41
6,Longyearbyen,75,SJ,1612552266,86,19.4,78.2186,15.6401,2.3
7,Port Alfred,100,ZA,1612552257,94,69.01,-33.5906,26.891,4.0
8,Nyurba,60,RU,1612552445,80,-41.04,63.2842,118.3319,3.13
9,Thompson,75,CA,1612552446,70,-14.8,55.7435,-97.8558,14.97
10,Pisco,0,PE,1612552448,69,75.2,-13.7,-76.2167,11.5
11,Lüderitz,0,NA,1612552449,50,73.81,-26.6481,15.1594,25.97
12,Ikom,83,NG,1612552450,19,84.52,5.9667,8.7063,2.15
13,Olafsvik,94,IS,1612552451,81,38.19,64.8945,-23.7142,31.47
14,Jamestown,75,US,1612552452,63,28.99,42.097,-79.2353,19.57
15,Husavik,0,IS,1612552272,68,26.6,66.0449,-17.3389,5.75
16,Kushiro,100,JP,1612552454,93,25.32,42.975,144.3747,5.28
17,Avarua,93,CK,1612552455,74,82.4,-21.2078,-159.775,5.75
18,Rikitea,0,PF,1612552243,69,78.8,-23.1203,-134.9692,10.65
19,Mataura,13,NZ,1612552458,90,50.5,-46.1927,168.8643,1.54
20,Lompoc,1,US,1612552459,47,63.0,34.6391,-120.4579,3.44
21,Kâhta,0,TR,1612552460,65,42.8,37.7855,38.6237,9.22
22,Barrow,75,US,1612552461,76,-14.8,71.2906,-156.7887,8.05
23,Bagan,100,RU,1612552462,99,27.21,54.1001,77.6646,5.03
24,Hermanus,11,ZA,1612552463,80,71.01,-34.4187,19.2345,3.0
25,Bluff,0,NZ,1612552465,86,52.9,-46.6,168.3333,4.88
26,Albany,81,US,1612552466,57,42.01,42.6001,-73.9662,6.02
27,Hilo,75,US,1612552467,60,70.0,19.7297,-155.09,4.61
28,Necochea,0,AR,1612552468,22,84.72,-38.5473,-58.7368,7.47
29,Yarim,32,YE,1612552469,51,51.53,14.298,44.3779,0.96
30,Bethel,90,US,1612552470,81,41.0,41.3712,-73.414,8.05
31,Byron Bay,40,AU,1612552471,94,69.8,-28.65,153.6167,4.61
32,Palana,0,RU,1612552473,92,-5.13,59.1167,159.9667,4.21
33,George Town,20,MY,1612552228,83,82.4,5.4112,100.3354,3.94
34,Loncoche,0,CL,1612552475,47,82.4,-39.3667,-72.6333,12.66
35,Alofi,100,NU,1612552317,94,75.2,-19.0595,-169.9187,10.36
36,Lebu,9,CL,1612552262,67,66.27,-37.6167,-73.65,13.82
37,Novouzensk,100,RU,1612552478,97,35.78,50.4592,48.1431,8.61
38,Poum,0,NC,1612552479,76,79.27,-20.2333,164.0167,6.67
